Name,Area (ABD) (µm²),Area (Filled) (µm²),Aspect Ratio,Average Blue,Average Green,Average Red,Biovolume (Cylinder) (µm³),Biovolume (P. Spheroid) (µm³),Biovolume (Sphere) (µm³),Calibration Factor,Calibration Image,Capture ID,Capture X (px),Capture Y (px),Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter (µm),Convexity,Date,Diameter (ABD) (µm),Diameter (ESD) (µm),Diameter (FD) (µm),Edge Gradient,Elapsed Time (s),Elongation,Feret Angle Max (°),Feret Angle Min (°),Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length (µm),Geodesic Thickness (µm),Group ID,Image Height (px),Image Width (px),Intensity,Length (µm),Particles Per Chain,Perimeter (µm),Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Sigma Intensity,Source Image,Sphere Complement (µm³),Sphere Count,Sphere Unknown (µm³),Sphere Volume (µm³),Sqrt Circularity,Sum Intensity,Symmetry,Time,Timestamp,Transparency,UUID,Volume (ABD) (µm³),Volume (ESD) (µm³),Width (µm)
2024-10-30 P2002 Group 5 Rev 2 R01 PP1,1960.18,1960.18,0.92,0.00,0.00,0.00,100551.98,63072.56,65283.90,1.83,1.00,1.00,799.00,411.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,0.78,0.99,1.28,179.18,1.00,2024-10-30 09:55:48,49.96,53.12,49.96,217.06,2.75,1.15,-35.00,-90.00,0.00,1.04,0.00,0.87,55.28,48.12,1,41.00,45.00,32.99,57.70,1.00,206.81,0.00,0.00,0.00,1.15,43.43,45653,0.00,0.00,0.00,0.00,0.88,26159.00,0.85,2024-10-30 09:55:48,2024-10-30 09:55:48,0.06,AF37721996C611EF937150EBF6EE7050,65283.90,78466.54,48.54
2024-10-30 P2002 Group 5 Rev 2 R01 PP1,761.33,761.33,0.97,0.00,0.00,0.00,26726.44,15591.58,15802.40,1.83,2.00,2.00,428.00,490.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.91,1.00,1.10,114.69,1.00,2024-10-30 09:55:48,31.13,32.66,31.13,247.85,2.75,1.00,-25.00,-90.00,0.00,1.10,0.00,1.00,32.41,32.41,2,31.00,33.00,56.98,35.72,1.00,129.62,0.00,0.00,0.00,1.13,59.90,45653,0.00,0.00,0.00,0.00,0.95,20685.00,0.84,2024-10-30 09:55:48,2024-10-30 09:55:48,0.05,AF3775E096C611EF937150EBF6EE7050,15802.40,18246.86,30.22
2024-10-30 P2002 Group 5 Rev 2 R01 PP1,1882.54,1882.54,0.89,0.00,0.00,0.00,87400.00,59983.73,61443.86,1.83,3.00,3.00,712.00,694.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,0.77,0.97,1.31,179.14,0.98,2024-10-30 09:55:48,48.96,53.17,48.96,155.59,2.75,1.37,-85.00,0.00,0.03,0.97,0.00,0.73,59.34,43.30,3,45.00,40.00,60.58,57.70,1.00,205.29,0.00,0.00,0.00,1.15,40.15,45653,0.00,0.00,0.00,0.00,0.88,46406.00,0.73,2024-10-30 09:55:48,2024-10-30 09:55:48,0.08,AF37784896C611EF937150EBF6EE7050,61443.86,78692.24,46.71
2024-10-30 P2002 Group 5 Rev 2 R01 PP1,6028.45,6028.45,0.99,0.00,0.00,0.00,370625.63,350752.77,352104.99,1.83,4.00,4.00,213.00,964.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.94,1.00,1.07,290.84,1.00,2024-10-30 09:55:48,87.61,88.68,87.61,186.25,2.75,1.00,-55.00,0.00,0.00,1.16,0.00,1.00,77.85,77.85,4,62.00,62.00,27.25,90.66,1.00,311.42,0.00,0.00,0.00,1.07,34.67,45653,0.00,0.00,0.00,0.00,0.97,58604.00,0.96,2024-10-30 09:55:48,2024-10-30 09:55:48,0.01,AF377A7E96C611EF937150EBF6EE7050,352104.99,365153.26,87.00
2024-10-30 P2002 Group 5 Rev 2 R01 PP1,2121.89,2121.89,0.97,0.00,0.00,0.00,100592.51,72368.99,73527.21,1.83,5.00,5.00,274.00,227.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.88,1.00,1.14,180.37,1.00,2024-10-30 09:55:48,51.98,53.57,51.98,249.21,2.83,1.00,15.00,0.00,0.00,1.11,0.00,1.00,50.41,50.41,5,43.00,43.00,26.88,55.86,1.00,201.63,0.00,0.00,0.00,1.12,36.82,45654,0.00,0.00,0.00,0.00,0.94,22819.00,0.95,2024-10-30 09:55:48,2024-10-30 09:55:48,0.03,AF377C9D96C611EF937150EBF6EE7050,73527.21,80513.39,52.20
2024-10-30 P2002 Group 5 Rev 2 R01 PP1,1039.05,1039.05,0.98,0.00,0.00,0.00,37681.68,24971.01,25195.36,1.83,6.00,6.00,650.00,259.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.93,1.00,1.08,130.34,1.00,2024-10-30 09:55:48,36.37,37.70,36.37,230.01,2.83,1.00,-50.00,0.00,0.00,1.08,0.00,1.00,36.34,36.34,6,35.00,34.00,72.45,39.38,1.00,145.35,0.00,0.00,0.00,1.12,38.63,45654,0.00,0.00,0.00,0.00,0.96,33762.00,0.91,2024-10-30 09:55:48,2024-10-30 09:55:48,0.04,AF377EAB96C611EF937150EBF6EE7050,25195.36,28056.77,35.72
2024-10-30 P2002 Group 5 Rev 2 R01 PP1,2603.03,2603.03,0.79,0.00,0.00,0.00,124613.79,91667.93,99903.65,1.83,7.00,7.00,258.00,291.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.74,0.75,0.95,1.34,208.90,0.98,2024-10-30 09:55:48,57.57,62.63,57.57,202.84,2.91,1.56,15.00,85.00,0.01,0.99,0.00,0.64,72.93,46.64,7,45.00,51.00,41.20,72.35,1.00,239.15,0.00,0.00,0.00,1.14,50.07,45655,0.00,0.00,0.00,0.00,0.86,41779.00,0.77,2024-10-30 09:55:48,2024-10-30 09:55:48,0.08,AF3780C496C611EF937150EBF6EE7050,99903.65,128634.42,54.03
2024-10-30 P2002 Group 5 Rev 2 R01 PP1,11541.28,11541.28,0.81,0.00,0.00,0.00,637899.02,878644.49,932705.56,1.83,8.00,8.00,333.00,545.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.65,0.55,0.95,1.83,438.16,0.91,2024-10-30 09:55:48,121.22,135.89,121.22,174.41,2.91,3.46,10.00,-90.00,0.43,0.70,0.00,0.29,213.36,61.70,8,82.00,94.00,39.34,149.28,1.00,550.12,0.00,0.00,0.00,1.26,36.80,45655,0.00,0.00,0.00,0.00,0.74,154353.00,0.65,2024-10-30 09:55:48,2024-10-30 09:55:48,0.11,AF3782D996C611EF937150EBF6EE7050,932705.56,1314028.21,123.63
2024-10-30 P2002 Group 5 Rev 2 R01 PP1,1498.06,1498.06,0.99,0.00,0.00,0.00,60007.55,43407.66,43617.28,1.83,9.00,9.00,325.00,794.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.92,1.00,1.08,153.71,1.00,2024-10-30 09:55:48,43.67,45.28,43.67,247.25,2.91,1.00,-20.00,-50.00,0.00,1.14,0.00,1.00,42.43,42.43,9,39.00,39.00,89.65,48.54,1.00,169.73,0.00,0.00,0.00,1.10,70.09,45655,0.00,0.00,0.00,0.00,0.96,56571.00,0.90,2024-10-30 09:55:48,2024-10-30 09:55:48,0.04,AF3784FB96C611EF937150EBF6EE7050,43617.28,48613.07,43.04
2024-10-30 P2002 Group 5 Rev 2 R01 PP1,8720.49,8720.49,0.99,0.00,0.00,0.00,633954.45,609931.29,612597.60,1.83,10.00,10.00,231.00,902.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.92,1.00,1.09,348.37,1.00,2024-10-30 09:55:48,105.37,107.25,105.37,186.49,2.91,1.00,-65.00,0.00,0.00,1.17,0.00,1.00,93.11,93.11,10,72.00,71.00,24.38,108.98,1.00,372.43,0.00,0.00,0.00,1.07,33.17,45655,0.00,0.00,0.00,0.00,0.96,73681.00,0.95,2024-10-30 09:55:48,2024-10-30 09:55:48,0.02,AF37872496C611EF937150EBF6EE7050,612597.60,645943.96,103.49
